Date,Open,High,Low,Close,Adj Close,Volume
2018-06-27,441.750000,443.510010,417.619995,420.720001,420.720001,149788331
2018-06-28,420.700012,441.869995,405.010010,435.250000,435.250000,227564744
2018-06-29,435.260010,462.559998,435.160004,453.420013,453.420013,168467579
2018-06-30,453.410004,456.470001,444.779999,451.950012,451.950012,100452349
2018-07-01,451.959991,481.829987,444.309998,476.579987,476.579987,195332556
2018-07-02,476.579987,486.760010,459.779999,461.950012,461.950012,182372293
2018-07-03,461.790009,481.790009,451.459991,467.190002,467.190002,163295006
2018-07-04,467.190002,478.440002,458.369995,467.549988,467.549988,182403445
2018-07-05,467.549988,475.670013,451.950012,469.929993,469.929993,139284675
2018-07-06,469.929993,489.329987,461.850006,485.809998,485.809998,119595512
2018-07-07,485.820007,495.230011,482.230011,486.190002,486.190002,133102164
2018-07-08,486.190002,487.910004,469.000000,471.480011,471.480011,137591337
2018-07-09,471.480011,473.059998,427.820007,432.690002,432.690002,250532493
2018-07-10,432.690002,447.089996,425.130005,445.589996,445.589996,141230265
2018-07-11,445.589996,446.130005,418.019989,430.910004,430.910004,146794442
2018-07-12,430.910004,442.029999,424.970001,432.459991,432.459991,124229013
2018-07-13,432.459991,439.630005,428.309998,433.739990,433.739990,84564526
2018-07-14,433.739990,454.679993,431.450012,449.619995,449.619995,104635389
2018-07-15,449.619995,480.209991,444.799988,478.750000,478.750000,203769275
2018-07-16,478.809998,511.339996,465.570007,499.059998,499.059998,249043123
2018-07-17,499.059998,515.140015,469.450012,479.019989,479.019989,246100286
2018-07-18,479.029999,483.790009,462.869995,468.649994,468.649994,171685266
2018-07-19,468.649994,469.019989,440.429993,448.839996,448.839996,198020417
2018-07-20,448.839996,468.250000,441.859985,461.040009,461.040009,125556641
2018-07-21,461.040009,471.989990,455.010010,457.649994,457.649994,102716195
2018-07-22,457.649994,469.700012,446.609985,449.630005,449.630005,175179390
2018-07-23,449.630005,484.179993,448.320007,479.470001,479.470001,201066485
2018-07-24,479.339996,484.440002,463.890015,471.279999,471.279999,141169236
2018-07-25,471.329987,483.859985,459.959991,462.029999,462.029999,129546000
2018-07-26,462.029999,473.690002,456.100006,469.690002,469.690002,135907462
2018-07-27,469.690002,471.239990,461.239990,468.549988,468.549988,75735805
2018-07-28,468.549988,471.559998,461.540009,466.200012,466.200012,77201406
